burst_behavior,burst_index,cv,freq_variance,kurtosis,modalirity_burst,name,nu,pause_index,pause_ratio,skewness,temp,x,y
0.0,0.0,0.573706971279,96.004842615,5.76507012404,0.0,Cell#003,0.731304925233,32.5,84.2836879433,1.3580014942,24.0,43.1,86.1
0.0,0.0,0.802038233095,97.9285714286,4.39937222434,0.0,Cell#017,0.933700700327,13.6666666667,51.4240963855,1.26362095102,24.0,120.6,103.4
0.0,0.0,1.45502578508,98.6569970454,11.2785613416,0.0,Cell#034,1.10360744534,1.0,1.0,2.82073284889,24.0,203.8,195.2
0.0,0.0,0.508984861421,94.9061662198,5.48672782046,0.0,Cell#055,0.586233220309,9.78571428571,16.7161290323,1.19698779754,24.0,292.9,201.0
0.0,0.0,1.03466940527,97.6696012429,3.88261021284,0.0,Cell#058,0.997107060706,15.0,62.7176870748,1.30947938023,24.0,304.3,238.3
0.0,0.0,0.703044450259,97.4803149606,1.78800735701,0.0,Cell#063,0.813611204741,27.0,141.212121212,0.302408170291,24.0,321.6,252.7
0.0,0.0,0.679351456695,97.9495268139,1.76991591882,0.0,Cell#066,0.795867721254,26.0,147.150793651,0.156612319314,24.0,330.2,238.3
0.0,0.0,0.685723967629,97.8494623656,1.79217632631,0.0,Cell#069,0.845186423226,22.0,135.358208955,0.163806731576,24.0,338.8,189.5
0.0,0.0,0.937818535143,97.6043557169,3.77354038288,0.0,Cell#078,1.15830993726,1.0,1.0,1.25478389676,24.0,379.0,209.6
0.0,0.0,1.10842600453,99.2341941229,5.55630117881,0.0,Cell#087,1.11255937283,11.0,123.601398601,1.84440499199,24.0,422.1,209.6
0.0,0.0,0.959564926959,97.4846755443,6.18775121674,0.0,Cell#088,1.3551452343,1.0,1.0,1.82715123492,24.0,422.1,261.3
0.0,0.0,0.860625363193,98.832968636,2.96049268316,0.0,Cell#089,1.09518122321,8.5,70.4754716981,0.856430979291,24.0,430.7,238.3
0.0,0.0,0.655281331156,97.4337040205,2.7625528948,0.0,Cell#095,0.824243183665,38.0,158.561538462,0.726218269867,24.0,462.2,195.2
0.0,0.0,1.1708745241,98.4778932109,10.5412830503,0.0,Cell#097,1.29119129154,1.0,1.0,2.72432019368,24.0,476.6,183.8
